id,idx,sex,age,schooling,income,visitation,start,deslocation_time,permanence,fuel_consumption,vehicle_with_engine,distance,age_dummy,schooling_dummy,years_dummy,fuel_price,fuel_cost,travel_cost,start_clean,distance_fixed,income_mid,travel_cost_new,age_old_dummy,schooling_below_dummy,income_dummy,sex_dummy
25,25,Feminino,19 a 35 anos,Mestrado incompleto,acima de 1 ate 3,6,Goiania,180,mais de duas horas,146.2,Gasolina,73.1,0,1,1,5.87,858.194,858.194,Goiania,73.1,485,39.62352272727273,0,0,1,1
26,26,Feminino,19 a 35 anos,Graduacao completa,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Gasolina,58.5,0,1,1,5.87,686.79,686.79,Anapolis,58.5,485,31.709659090909092,0,0,1,1
27,27,Feminino,19 a 35 anos,Doutorado incompleto,acima de 1 ate 3,2,Anapolis,116,mais de duas horas,117,Gasolina,58.5,0,1,1,5.87,686.79,686.79,Anapolis,58.5,485,31.709659090909092,0,0,1,1
28,28,Feminino,19 a 35 anos,Graduacao incompleta,acima de 1 ate 3,4,Silvania,68,mais de duas horas,15.8,Gasolina,8,0,0,1,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,0,1,1,1
29,29,Feminino,19 a 35 anos,Mestre,acima de 3 ate 5,2,Jussara,480,mais de uma hora a duas horas,600,Gasolina,27.5,1,1,1,5.87,3522,3522,Jussara,27.5,970,15.512500000000001,0,0,0,1
30,30,Masculino,36 a 59 anos,Graduacao completa,acima de 3 ate 5,4,Leopoldo de Bulhoes,68,mais de uma hora a duas horas,24,Gasolina,11.8,1,1,0,5.87,140.88,140.88,Leopoldo de Bulhoes,11.8,970,6.656272727272729,1,0,0,0
31,31,Feminino,19 a 35 anos,Ensino completo,acima de 1 ate 3,4,Leopoldo de Bulhoes,68,mais de uma hora a duas horas,24,Gasolina,11.8,0,0,1,5.87,140.88,140.88,Leopoldo de Bulhoes,11.8,485,6.396136363636365,0,1,1,1
32,32,Masculino,19 a 35 anos,Ensino completo,acima de 3 ate 5,2,Silvania,68,ate meia hora,15.8,Gasolina,8,1,0,1,5.87,92.746,92.746,Silvania,8,970,4.512727272727273,0,1,0,0
33,33,Feminino,19 a 35 anos,Graduacao incompleta,acima de 1 ate 3,2,Silvania,32,mais de uma hora a duas horas,15.8,Gasolina,8,0,0,1,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,0,1,1,1
34,34,Masculino,19 a 35 anos,Ensino completo,acima de 1 ate 3,6,Silvania,68,mais de duas horas,15.8,Gasolina,8,0,0,1,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,0,1,1,0
35,35,Feminino,36 a 59 anos,Especializacao completa,acima de 3 ate 5,3,Goiania,180,mais de duas horas,146.2,Álcool,73.1,1,1,0,3.65,533.63,533.63,Goiania,73.1,970,41.23504545454546,1,0,0,1
36,36,Masculino,19 a 35 anos,Mestrado incompleto,acima de 1 ate 3,1,Formosa,480,mais de duas horas,560,Gasolina,274,0,1,1,5.87,3287.2,3287.2,Formosa,274,485,148.52045454545456,0,0,1,0
37,37,Feminino,19 a 35 anos,Mestrado incompleto,ate 1,2,Silvania,32,mais de meia hora ate uma hora,15.8,Gasolina,8,0,1,1,5.87,92.746,92.746,Silvania,8,121,4.204,0,0,1,1
38,38,Feminino,19 a 35 anos,Mestrado incompleto,acima de 1 ate 3,1,Anapolis,120,mais de duas horas,117,Diesel,58.5,0,1,1,6.18,723.06,723.06,Anapolis,58.5,485,31.709659090909092,0,0,1,1
39,39,Masculino,19 a 35 anos,Ensino medio incompleto,ate 1,1,Goiania,180,mais de duas horas,146.2,Gasolina,73.1,0,0,1,5.87,858.194,858.194,Goiania,73.1,121,38.41405,0,1,1,0
40,40,Masculino,19 a 35 anos,Graduacao completa,acima de 3 ate 5,1,Orizona,136,mais de duas horas,142,Gasolina,71,1,1,1,5.87,833.54,833.54,Orizona,71,970,40.05045454545455,0,0,0,0
41,41,Feminino,36 a 59 anos,Graduacao completa,acima de 3 ate 5,1,Silvania,32,mais de uma hora a duas horas,15.8,Gasolina,8,1,1,0,5.87,92.746,92.746,Silvania,8,970,4.512727272727273,1,0,0,1
