id,idx,sex,age,schooling,income,visitation,start,deslocation_time,permanence,fuel_consumption,vehicle_with_engine,distance,age_dummy,schooling_dummy,years_dummy,fuel_price,fuel_cost,travel_cost,start_clean,distance_fixed,income_mid,travel_cost_new,age_old_dummy,schooling_below_dummy,income_dummy,sex_dummy
119,119,Feminino,36 a 59 anos,Especializacao completa,acima de 1 ate 3,1,Silvania,32,mais de duas horas,15.8,Álcool,8,0,1,0,3.65,57.67,57.67,Silvania,8,485,4.336363636363637,1,0,1,1
120,120,Feminino,36 a 59 anos,Mestrado incompleto,acima de 5,1,Vianopolis,72,mais de duas horas,54.4,Gasolina,27.2,1,1,0,5.87,319.328,319.328,Vianopolis,27.2,1818,16.391709090909092,1,0,0,1
121,121,Feminino,36 a 59 anos,Especializacao completa,acima de 1 ate 3,1,Silvania,34,mais de duas horas,15.8,Gasolina,8,0,1,0,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,1,0,1,1
122,122,Feminino,36 a 59 anos,Especializacao completa,acima de 3 ate 5,1,Silvania,34,mais de duas horas,15.8,Gasolina,8,1,1,0,5.87,92.746,92.746,Silvania,8,970,4.512727272727273,1,0,0,1
123,123,Feminino,19 a 35 anos,Especializacao completa,acima de 1 ate 3,1,Vianopolis,72,mais de duas horas,54.4,Gasolina,27.2,0,1,1,5.87,319.328,319.328,Vianopolis,27.2,485,14.743636363636364,0,0,1,1
124,124,Feminino,36 a 59 anos,Especializacao completa,acima de 1 ate 3,1,Silvania,32,mais de duas horas,15.8,Diesel,8,0,1,0,6.18,97.644,97.644,Silvania,8,485,4.336363636363637,1,0,1,1
125,125,Feminino,36 a 59 anos,Graduacao completa,acima de 1 ate 3,3,Silvania,34,mais de duas horas,15.8,Diesel,8,0,1,0,6.18,97.644,97.644,Silvania,8,485,4.336363636363637,1,0,1,1
126,126,Feminino,36 a 59 anos,Especializacao completa,acima de 3 ate 5,1,Vianopolis,80,mais de duas horas,54.4,Diesel,27.2,1,1,0,6.18,336.192,336.192,Vianopolis,27.2,970,15.343272727272728,1,0,0,1
127,127,Masculino,36 a 59 anos,Especializacao completa,acima de 3 ate 5,2,Silvania,32,mais de duas horas,15.8,Gasolina,8,1,1,0,5.87,92.746,92.746,Silvania,8,970,4.512727272727273,1,0,0,0
128,128,Masculino,36 a 59 anos,Doutorado,acima de 5,2,Goiania,180,mais de duas horas,146.2,Álcool,73.1,1,1,0,3.65,533.63,533.63,Goiania,73.1,1818,44.05271818181818,1,0,0,0
129,129,Feminino,19 a 35 anos,Graduacao incompleta,ate 1,6,Silvania,34,mais de duas horas,15.8,Gasolina,8,0,0,1,5.87,92.746,92.746,Silvania,8,121,4.204,0,1,1,1
130,130,Masculino,36 a 59 anos,Ensino medio incompleto,acima de 1 ate 3,6,Silvania,32,mais de duas horas,15.8,Gasolina,8,0,0,0,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,1,1,1,0
131,131,Feminino,19 a 35 anos,Doutorado incompleto,acima de 1 ate 3,3,Goiania,180,mais de duas horas,146.2,Álcool,73.1,0,1,1,3.65,533.63,533.63,Goiania,73.1,485,39.62352272727273,0,0,1,1
132,132,Feminino,19 a 35 anos,Mestre,acima de 3 ate 5,2,Jussara,480,mais de duas horas,600,Álcool,27.5,1,1,1,3.65,2190,2190,Jussara,27.5,970,15.512500000000001,0,0,0,1
133,133,Masculino,36 a 59 anos,Ensino completo,acima de 1 ate 3,6,Silvania,32,mais de duas horas,15.8,Diesel,8,0,0,0,6.18,97.644,97.644,Silvania,8,485,4.336363636363637,1,1,1,0
134,134,Masculino,19 a 35 anos,Ensino completo,acima de 1 ate 3,6,Silvania,32,mais de duas horas,15.8,Diesel,8,0,0,1,6.18,97.644,97.644,Silvania,8,485,4.336363636363637,0,1,1,0
135,135,Feminino,36 a 59 anos,Graduacao completa,acima de 3 ate 5,2,Silvania,34,mais de duas horas,15.8,Álcool,8,1,1,0,3.65,57.67,57.67,Silvania,8,970,4.512727272727273,1,0,0,1
136,136,Feminino,19 a 35 anos,Mestrado incompleto,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Álcool,58.5,0,1,1,3.65,427.05,427.05,Anapolis,58.5,485,31.709659090909092,0,0,1,1
137,137,Feminino,36 a 59 anos,Especializacao completa,acima de 3 ate 5,1,Anapolis,116,mais de duas horas,117,Gasolina,58.5,1,1,0,5.87,686.79,686.79,Anapolis,58.5,970,32.99931818181818,1,0,0,1
138,138,Feminino,19 a 35 anos,Graduacao incompleta,ate 1,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,0,1,6.18,723.06,723.06,Anapolis,58.5,121,30.741750000000003,0,1,1,1
139,139,Masculino,36 a 59 anos,Mestrado incompleto,acima de 5,1,Brasilia,346,mais de duas horas,418,Gasolina,0,1,1,0,5.87,2453.66,2453.66,Brasilia,180,1818,108.47454545454546,1,0,0,0
140,140,Feminino,36 a 59 anos,Doutorado incompleto,acima de 5,2,Goiania,180,mais de duas horas,146.2,Diesel,73.1,1,1,0,6.18,903.516,903.516,Goiania,73.1,1818,44.05271818181818,1,0,0,1
141,141,Masculino,19 a 35 anos,Mestre,acima de 3 ate 5,2,Silvania,32,mais de uma hora a duas horas,15,Álcool,8,1,1,1,3.65,54.75,54.75,Silvania,8,970,4.512727272727273,0,0,0,0
142,142,Feminino,19 a 35 anos,Ensino medio incompleto,ate 1,1,Anapolis,120,mais de duas horas,117,Diesel,58.5,0,0,1,6.18,723.06,723.06,Anapolis,58.5,121,30.741750000000003,0,1,1,1
145,145,Feminino,19 a 35 anos,Graduacao incompleta,acima de 1 ate 3,6,Silvânia,32,mais de duas horas,15.8,Álcool,0,0,0,1,3.65,57.67,57.67,Silvania,8,485,4.336363636363637,0,1,1,1
146,146,Masculino,19 a 35 anos,Ensino medio incompleto,acima de 3 ate 5,6,Silvânia,32,mais de meia hora ate uma hora,15.8,Álcool,0,1,0,1,3.65,57.67,57.67,Silvania,8,970,4.512727272727273,0,1,0,0
147,147,Masculino,36 a 59 anos,NA,acima de 1 ate 3,6,Silvânia,30,mais de duas horas,15.8,Álcool,0,0,0,0,3.65,57.67,57.67,Silvania,8,485,4.336363636363637,1,0,1,0
148,148,Masculino,36 a 59 anos,Graduacao completa,acima de 1 ate 3,6,Silvânia,32,mais de uma hora a duas horas,15.8,Álcool,0,0,1,0,3.65,57.67,57.67,Silvania,8,485,4.336363636363637,1,0,1,0
149,149,Feminino,36 a 59 anos,Especializacao incompleta,acima de 1 ate 3,6,Silvânia,32,mais de duas horas,15.8,Gasolina,0,0,1,0,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,1,0,1,1
150,150,Masculino,36 a 59 anos,Especializacao completa,acima de 3 ate 5,2,Silvânia,40,mais de meia hora ate uma hora,15.8,Gasolina,0,1,1,0,5.87,92.746,92.746,Silvania,8,970,4.512727272727273,1,0,0,0
151,151,Feminino,36 a 59 anos,Ensino completo,acima de 1 ate 3,4,Silvânia,32,mais de duas horas,15.8,Gasolina,0,0,0,0,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,1,1,1,1
152,152,Masculino,18 anos,NA,ate 1,2,Silvânia,40,mais de meia hora ate uma hora,15.8,Gasolina,0,0,0,1,5.87,92.746,92.746,Silvania,8,121,4.204,0,0,1,0
153,153,Masculino,18 anos,NA,ate 1,1,Silvânia,40,ate meia hora,15.8,Gasolina,0,0,0,1,5.87,92.746,92.746,Silvania,8,121,4.204,0,0,1,0
154,154,Masculino,18 anos,NA,ate 1,2,Silvânia,40,mais de uma hora a duas horas,15.8,Gasolina,0,0,0,1,5.87,92.746,92.746,Silvania,8,121,4.204,0,0,1,0
155,155,Masculino,19 a 35 anos,Ensino completo,acima de 1 ate 3,1,Goiânia,180,mais de uma hora a duas horas,146.2,Gasolina,0,0,0,1,5.87,858.194,858.194,Goiania,73.1,485,39.62352272727273,0,1,1,0
156,156,Feminino,19 a 35 anos,Ensino completo,ate 1,2,Silvânia,32,mais de uma hora a duas horas,15.8,Gasolina,0,0,0,1,5.87,92.746,92.746,Silvania,8,121,4.204,0,1,1,1
